trip_id,start_time,end_time,headway_secs
20120110,6:00:00,9:00:00,300
20120110,9:01:00,15:00:00,900
20120110,15:01:00,21:00:00,300
20121111,6:00:00,9:00:00,300
20121111,9:01:00,15:00:00,900
20121111,15:01:00,21:00:00,300
20121110,6:00:00,9:00:00,300
20121110,9:01:00,15:00:00,900
20121110,15:01:00,21:00:00,300
20145111,6:00:00,9:00:00,300
20145111,9:01:00,15:00:00,900
20145111,15:01:00,21:00:00,300
20145110,6:00:00,9:00:00,300
20145110,9:01:00,15:00:00,900
20145110,15:01:00,21:00:00,300
20237111,6:00:00,9:00:00,300
20237111,9:01:00,15:00:00,900
20237111,15:01:00,21:00:00,300
20237110,6:00:00,9:00:00,300
20237110,9:01:00,15:00:00,900
20237110,15:01:00,21:00:00,300
22030111,6:00:00,9:00:00,300
22030111,9:01:00,15:00:00,900
22030111,15:01:00,21:00:00,300
22030110,6:00:00,9:00:00,300
22030110,9:01:00,15:00:00,900
22030110,15:01:00,21:00:00,300
22930111,6:00:00,9:00:00,300
22930111,9:01:00,15:00:00,900
22930111,15:01:00,21:00:00,300
22930110,6:00:00,9:00:00,300
22930110,9:01:00,15:00:00,900
22930110,15:01:00,21:00:00,300
30003111,6:00:00,9:00:00,300
30003111,9:01:00,15:00:00,900
30003111,15:01:00,21:00:00,300
30003110,6:00:00,9:00:00,300
30003110,9:01:00,15:00:00,900
30003110,15:01:00,21:00:00,300
30007111,6:00:00,9:00:00,300
30007111,9:01:00,15:00:00,900
30007111,15:01:00,21:00:00,300
30007110,6:00:00,9:00:00,300
30007110,9:01:00,15:00:00,900
30007110,15:01:00,21:00:00,300
3011C111,6:00:00,9:00:00,300
3011C111,9:01:00,15:00:00,900
3011C111,15:01:00,21:00:00,300
3011C110,6:00:00,9:00:00,300
3011C110,9:01:00,15:00:00,900
3011C110,15:01:00,21:00:00,300
30014111,6:00:00,9:00:00,300
30014111,9:01:00,15:00:00,900
30014111,15:01:00,21:00:00,300
30014110,6:00:00,9:00:00,300
30014110,9:01:00,15:00:00,900
30014110,15:01:00,21:00:00,300
3017A111,6:00:00,9:00:00,300
3017A111,9:01:00,15:00:00,900
3017A111,15:01:00,21:00:00,300
3017A110,6:00:00,9:00:00,300
3017A110,9:01:00,15:00:00,900
3017A110,15:01:00,21:00:00,300
3018C111,6:00:00,9:00:00,300
3018C111,9:01:00,15:00:00,900
3018C111,15:01:00,21:00:00,300
3018C110,6:00:00,9:00:00,300
3018C110,9:01:00,15:00:00,900
3018C110,15:01:00,21:00:00,300
30028111,6:00:00,9:00:00,300
30028111,9:01:00,15:00:00,900
30028111,15:01:00,21:00:00,300
30028110,6:00:00,9:00:00,300
30028110,9:01:00,15:00:00,900
30028110,15:01:00,21:00:00,300
30032111,6:00:00,9:00:00,300
30032111,9:01:00,15:00:00,900
30032111,15:01:00,21:00:00,300
30032110,6:00:00,9:00:00,300
30032110,9:01:00,15:00:00,900
30032110,15:01:00,21:00:00,300
30041111,6:00:00,9:00:00,300
30041111,9:01:00,15:00:00,900
30041111,15:01:00,21:00:00,300
30041110,6:00:00,9:00:00,300
30041110,9:01:00,15:00:00,900
30041110,15:01:00,21:00:00,300
30046111,6:00:00,9:00:00,300
30046111,9:01:00,15:00:00,900
30046111,15:01:00,21:00:00,300
30046110,6:00:00,9:00:00,300
30046110,9:01:00,15:00:00,900
30046110,15:01:00,21:00:00,300
3046B111,6:00:00,9:00:00,300
3046B111,9:01:00,15:00:00,900
3046B111,15:01:00,21:00:00,300
3046B110,6:00:00,9:00:00,300
3046B110,9:01:00,15:00:00,900
3046B110,15:01:00,21:00:00,300
31862111,6:00:00,9:00:00,300
31862111,9:01:00,15:00:00,900
31862111,15:01:00,21:00:00,300
31862110,6:00:00,9:00:00,300
31862110,9:01:00,15:00:00,900
31862110,15:01:00,21:00:00,300
33738111,6:00:00,9:00:00,300
33738111,9:01:00,15:00:00,900
33738111,15:01:00,21:00:00,300
33738110,6:00:00,9:00:00,300
33738110,9:01:00,15:00:00,900
33738110,15:01:00,21:00:00,300
20044111,06:00:00,09:00:00,300
20044111,09:01:00,15:00:00,900
20044111,15:01:00,21:00:00,300
20044110,06:00:00,09:00:00,300
20044110,09:01:00,15:00:00,900
20044110,15:01:00,21:00:00,300
40006111,06:00:00,09:00:00,300
40006111,09:01:00,15:00:00,900
40006111,15:01:00,21:00:00,300
40006110,06:00:00,09:00:00,300
40006110,09:01:00,15:00:00,900
40006110,15:01:00,21:00:00,300
40010111,06:00:00,09:00:00,300
40010111,09:01:00,15:00:00,900
40010111,15:01:00,21:00:00,300
40010110,06:00:00,09:00:00,300
40010110,09:01:00,15:00:00,900
40010110,15:01:00,21:00:00,300
4017A111,06:00:00,09:00:00,300
4017A111,09:01:00,15:00:00,900
4017A111,15:01:00,21:00:00,300
4017A110,06:00:00,09:00:00,300
4017A110,09:01:00,15:00:00,900
4017A110,15:01:00,21:00:00,300
4019C111,06:00:00,09:00:00,300
4019C111,09:01:00,15:00:00,900
4019C111,15:01:00,21:00:00,300
4019C110,06:00:00,09:00:00,300
4019C110,09:01:00,15:00:00,900
4019C110,15:01:00,21:00:00,300
4019C121,06:00:00,09:00:00,300
4019C121,09:01:00,15:00:00,900
4019C121,15:01:00,21:00:00,300
4019C120,06:00:00,09:00:00,300
4019C120,09:01:00,15:00:00,900
4019C120,15:01:00,21:00:00,300
4019C211,06:00:00,09:00:00,300
4019C211,09:01:00,15:00:00,900
4019C211,15:01:00,21:00:00,300
4019C210,06:00:00,09:00:00,300
4019C210,09:01:00,15:00:00,900
4019C210,15:01:00,21:00:00,300
40020111,06:00:00,09:00:00,300
40020111,09:01:00,15:00:00,900
40020111,15:01:00,21:00:00,300
40020110,06:00:00,09:00:00,300
40020110,09:01:00,15:00:00,900
40020110,15:01:00,21:00:00,300
40023111,06:00:00,09:00:00,300
40023111,09:01:00,15:00:00,900
40023111,15:01:00,21:00:00,300
40023110,06:00:00,09:00:00,300
40023110,09:01:00,15:00:00,900
40023110,15:01:00,21:00:00,300
40026211,06:00:00,09:00:00,300
40026211,09:01:00,15:00:00,900
40026211,15:01:00,21:00:00,300
40026210,06:00:00,09:00:00,300
40026210,09:01:00,15:00:00,900
40026210,15:01:00,21:00:00,300
40026111,06:00:00,09:00:00,300
40026111,09:01:00,15:00:00,900
